customer_id,age,gender,state,city,pin_code,marital_status,education,occupation,join_date,tenure_years,account_type,account_segment,annual_income,balance,credit_score,num_products,has_credit_card,has_loan,has_insurance,has_demat,has_mutual_fund,loan_amount,loan_emi,credit_limit,credit_utilization_pct,monthly_txn_count,monthly_debit_amt,monthly_credit_amt,avg_txn_value,online_txn_pct,atm_withdrawal_freq,upi_txn_count,net_banking_logins,mobile_app_logins,branch_visits,complaints_last_year,complaint_resolved,nps_score,csat_score,days_since_last_txn,days_since_last_login,is_dormant,inactive_6m,churn,complaints_resolved
CUST0009824,36,Male,UP,Agartala,77280,Married,Post-Graduate,Homemaker,2016-10-19,7.62,Savings,Mass,213700.0,150020.59,733.0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,15.0,2483.6,20014.32,155.22,59.34,5,11,6,11,2,0,nan,7.0,2.0,26,5,0,0,0,nan
CUST0000034,28,Male,West Bengal,Jalgaon,58419,Married,Post-Graduate,Self-Employed,2014-10-30,9.59,Savings,Emerging Affluent,4391200.0,9790435.24,709.0,4,1,1,0,1,0,100486.79,897.35,176697.75,21.38,14.0,2183016.24,298418.88,145534.42,28.33,3,5,3,15,1,0,nan,9.0,5.0,4,1,0,0,0,nan
CUST0001370,30,Male,Maharashtra,Sirsa,618183,Married,Graduate,Business Owner,2014-10-09,9.65,Savings,Emerging Affluent,2557100.0,5489392.86,670.0,5,1,1,0,0,0,220332.94,4236.29,128697.77,13.63,15.0,874920.46,212523.05,54682.53,50.55,4,12,6,12,1,0,nan,7.0,4.0,23,16,0,0,0,nan
CUST0003621,24,Male,Karnataka,Ghaziabad,543229,Married,Graduate,Self-Employed,2022-08-23,1.78,Salary,HNI,2360300.0,5806492.68,671.0,3,0,0,0,1,0,0.0,0.0,0.0,0.0,13.0,1555652.64,122447.31,111118.05,38.96,3,14,2,15,2,1,yes,8.0,2.0,1,12,0,0,0,yes
CUST0003273,53,Male,Delhi,Latur,723494,Married,High School,Salaried,2018-03-13,6.22,Savings,Mass,827500.0,1373669.43,567.0,5,1,0,1,0,0,0.0,0.0,232698.87,34.83,18.0,22005.93,58318.76,1047.9,68.77,6,6,8,18,2,0,nan,8.0,3.0,3,1,0,0,0,nan
CUST0006393,21,Female,Delhi,Bhalswa Jahangir Pur,418901,Single,Post-Graduate,Student,2016-01-30,8.34,Savings,Affluent,142600.0,310626.19,587.0,2,0,1,0,0,0,132565.97,1110.1,0.0,0.0,16.0,88741.06,5952.91,5220.06,68.62,3,17,4,11,1,0,nan,10.0,5.0,5,5,0,0,0,nan
CUST0000252,53,Female,Rajasthan,Imphal,914215,Single,High School,Self-Employed,2010-05-01,14.1,Savings,Mass,2690500.0,4261583.15,692.0,4,0,1,0,1,1,163155.96,1699.64,0.0,0.0,18.0,1435588.58,174619.59,75557.29,53.28000000000001,4,10,4,19,1,1,yes,10.0,5.0,30,6,0,0,0,yes
CUST0008188,50,Male,Delhi,Mira-Bhayandar,420045,Divorced,Post-Graduate,Freelancer,2016-05-06,8.08,Savings,Affluent,788500.0,164417.23,621.0,3,1,0,0,1,0,0.0,0.0,226538.72,38.24,11.0,16875.75,64909.82,1406.31,92.07,2,19,5,14,3,0,nan,8.0,5.0,10,0,0,0,0,nan
CUST0000648,41,Male,UP,Warangal,28850,Married,Post-Graduate,Self-Employed,2015-07-19,8.88,Savings,Affluent,3125100.0,3557069.89,590.0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,16.0,1054047.33,288829.08,62002.78,89.58,3,8,3,19,0,3,yes,1.0,4.0,11,10,0,0,0,yes
CUST0003853,58,Male,Maharashtra,Shimoga,211479,Divorced,Post-Graduate,Salaried,2013-04-26,11.11,Savings,Emerging Affluent,743400.0,331148.14,639.0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,19.0,80875.92,43561.06,4043.8,82.44,0,19,6,16,2,5,yes,2.0,4.0,0,7,0,0,0,yes
CUST0000488,27,Male,Telangana,Tenali,326664,Married,Unknown,Self-Employed,2016-10-25,7.61,Current,Affluent,594200.0,0.0,680.0,1,1,1,1,0,0,221431.81,2852.73,86311.03,23.82,19.0,0.0,38552.84,0.0,77.64,3,14,6,19,1,0,nan,6.0,4.0,19,2,0,0,0,nan
CUST0007217,34,Female,Maharashtra,Karimnagar,602003,Married,High School,Student,2018-05-13,6.06,Fixed Deposit,Affluent,183600.0,350181.11,702.0,1,1,1,1,0,1,306174.92,5374.03,230135.95,67.58,16.0,26258.5,12909.45,1544.62,35.55,2,10,5,16,2,0,nan,3.0,4.0,6,2,0,0,0,nan
CUST0007624,32,Female,Tamil Nadu,Sikar,961955,Married,Post-Graduate,Business Owner,2012-07-13,11.89,Current,Emerging Affluent,670700.0,3123156.59,652.0,3,0,0,1,0,0,0.0,0.0,0.0,0.0,22.0,93070.12,88726.14,4046.53,65.73,4,14,6,15,3,3,yes,9.0,3.0,1,12,0,0,0,yes
CUST0000533,41,Male,West Bengal,Dehradun,736411,Married,Post-Graduate,Salaried,2021-08-14,2.8,Savings,Emerging Affluent,616200.0,730611.42,678.0,3,0,1,1,0,0,80121.14,1559.88,0.0,0.0,10.0,226524.53,32551.99,20593.14,54.56999999999999,3,11,2,18,2,0,nan,9.0,5.0,6,0,0,0,0,nan
CUST0001544,36,Female,Telangana,Chandigarh,294210,Single,Graduate,Business Owner,2016-12-17,7.46,NRI,Affluent,1118800.0,228849.56,701.0,4,1,1,1,0,1,667674.14,5662.02,230715.54,40.47,22.0,17247.0,59780.45,749.87,61.870000000000005,6,13,7,9,2,0,nan,6.0,3.0,20,10,0,0,0,nan
CUST0004536,33,Male,Delhi,Muzaffarnagar,454170,Married,Doctorate,Salaried,2012-09-04,11.75,Salary,HNI,1739000.0,2329015.78,626.0,3,0,1,0,0,0,243292.05,4070.14,0.0,0.0,13.0,110531.47,105867.4,7895.1,85.8,2,16,6,11,0,0,nan,8.0,4.0,35,4,0,0,0,nan
CUST0004701,29,Female,Gujarat,Malegaon,717758,Single,Graduate,Salaried,2014-10-01,9.67,Current,Emerging Affluent,1204500.0,0.0,700.0,1,0,1,0,1,0,216422.56,2454.67,0.0,0.0,10.0,0.0,110227.04,0.0,59.97,7,11,6,11,3,3,no,10.0,5.0,7,2,0,0,1,no
CUST0009689,41,Male,Rajasthan,Surat,933384,Single,High School,Self-Employed,2012-06-01,12.01,Fixed Deposit,UHNI,642050.0,136185.86,553.0,1,0,0,1,1,0,0.0,0.0,0.0,0.0,10.0,19344.94,21500.37,1758.63,41.49,8,8,4,15,1,1,yes,10.0,3.0,2,0,0,0,0,yes
CUST0008733,45,Female,Delhi,Hindupur,431707,Divorced,Graduate,Student,2013-08-27,10.77,Savings,Affluent,126100.0,679772.97,683.0,3,1,0,1,1,0,0.0,0.0,286923.85,16.48,12.0,12901.19,9639.67,992.4,94.07,3,17,3,13,0,0,nan,8.0,4.0,18,4,0,0,0,nan
CUST0009832,31,Male,Delhi,Dehri,905245,Married,Post-Graduate,Homemaker,2018-01-24,6.36,Savings,Mass,320200.0,741253.1,706.0,1,0,1,1,0,1,73669.46,1335.32,0.0,0.0,13.0,219140.23,16869.64,15652.87,60.260000000000005,6,12,3,14,2,0,nan,6.0,5.0,30,0,0,0,0,nan
CUST0002887,35,Male,Maharashtra,South Dumdum,127512,Single,Graduate,Business Owner,2013-09-24,10.69,Current,Emerging Affluent,419400.0,0.0,765.0,3,1,1,1,0,0,110328.95,2034.25,132374.43,21.63,23.0,0.0,21214.41,0.0,80.46,4,20,4,22,2,0,nan,7.0,4.0,9,4,0,0,0,nan
CUST0007591,30,Female,Delhi,Patna,920446,Married,Unknown,Salaried,2021-03-25,3.19,NRI,HNI,1119800.0,892996.92,555.0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,16.0,70449.55,47907.26,4144.09,87.66000000000001,2,4,6,10,2,0,nan,2.0,5.0,21,7,0,0,0,nan
CUST0001473,40,Male,Gujarat,Chinsurah,447086,Single,Unknown,Student,2020-04-24,4.11,Savings,Mass,187700.0,679772.97,789.0,2,1,1,0,0,0,1669935.13,26241.49,111112.4,38.93,13.0,22934.18,17390.79,1638.16,14.37,4,7,9,17,1,0,nan,10.0,4.0,19,1,0,0,0,nan
CUST0008272,55,Female,Karnataka,Hosur,899789,Married,Graduate,Business Owner,2011-02-03,13.33,Current,Emerging Affluent,2620700.0,622939.49,541.0,2,1,1,1,0,1,400266.75,26954.78,231536.94,38.44,7.0,209296.65,123185.16,26162.08,58.24,6,11,9,13,2,1,yes,10.0,4.0,2,6,0,0,0,yes
CUST0008261,35,Male,West Bengal,Nadiad,608092,Divorced,Post-Graduate,Homemaker,2016-01-16,8.38,NRI,HNI,548800.0,0.0,785.0,5,1,0,0,0,0,0.0,0.0,236198.0,30.16,15.0,0.0,34065.92,0.0,70.75,0,18,6,16,1,0,nan,7.0,4.0,15,10,0,0,0,nan
CUST0000583,50,Female,Punjab,Serampore,548232,Single,Unknown,Homemaker,2019-04-30,5.09,Savings,Mass,929200.0,679772.97,712.0,3,1,0,0,0,1,0.0,0.0,225435.67,21.22,19.0,46989.04,46975.47,2349.45,81.19,7,9,7,10,0,1,yes,10.0,4.0,8,3,0,0,0,yes
CUST0004561,28,Female,Telangana,Firozabad,127817,Married,Post-Graduate,Homemaker,2018-01-12,6.39,Savings,Affluent,365100.0,309499.03,681.0,1,1,1,0,1,0,214566.79,1874.77,151703.83,30.11,29.0,25682.89,21033.24,856.1,76.96,2,9,6,9,1,0,nan,9.0,5.0,28,8,0,0,0,nan
CUST0009325,23,Male,Gujarat,Tiruppur,289628,Married,Post-Graduate,Freelancer,2021-05-26,3.02,Savings,Mass,1103400.0,215840.04,826.0,3,0,1,0,1,0,1138643.04,10276.09,0.0,0.0,14.0,20687.15,103857.12,1379.14,81.41000000000001,6,9,5,9,2,0,nan,10.0,4.0,38,4,0,0,0,nan
CUST0000260,52,Female,Delhi,Hubliâ€“Dharwad,295843,Single,Graduate,Business Owner,2018-12-30,5.42,Savings,HNI,314600.0,559795.99,787.0,2,1,0,1,0,1,0.0,0.0,229792.25,15.29,21.0,44426.32,25655.59,2019.38,80.04,4,10,5,7,1,2,no,9.0,4.0,0,7,0,0,0,no
CUST0008893,29,Female,Karnataka,Hajipur,803721,Single,High School,Business Owner,2015-05-17,9.05,Salary,Mass,1182200.0,2636416.27,795.0,5,1,1,0,0,1,799692.73,10698.87,287592.77,21.59,13.0,914458.84,113587.06,65318.49,59.14,5,12,8,14,0,0,nan,10.0,5.0,6,3,0,0,0,nan
CUST0002019,50,Male,Delhi,Tadipatri,518953,Single,High School,Student,2020-06-01,4.0,Savings,Emerging Affluent,193500.0,390626.23,599.0,2,1,0,1,0,0,0.0,0.0,222114.48,16.66,12.0,43631.02,13159.95,3356.23,74.65,5,10,5,15,1,1,yes,7.0,4.0,1,3,0,0,0,yes
CUST0000624,59,Male,Karnataka,Patiala,55597,Married,Post-Graduate,Salaried,2020-05-10,4.06,Current,Affluent,567600.0,147670.38,700.0,3,1,0,1,0,0,0.0,0.0,128552.93,23.87,17.0,36686.16,47314.8,2038.12,43.580000000000005,3,13,4,9,0,1,yes,10.0,4.0,53,5,0,0,0,yes
CUST0003152,37,Male,Gujarat,Nandyal,21026,Divorced,Post-Graduate,Self-Employed,2012-12-05,11.5,Salary,Affluent,327800.0,314467.12,689.0,3,1,1,1,0,1,266571.64,4982.99,275945.61,7.69,12.0,39354.33,30830.93,3027.26,93.74,2,14,5,21,4,1,yes,1.0,4.0,46,3,0,0,0,yes
CUST0002610,58,Female,Rajasthan,Gaya,328118,Divorced,High School,Business Owner,2022-02-28,2.26,Current,Affluent,224500.0,216163.01,688.0,3,1,1,1,0,1,152194.26,1279.57,156741.44,33.42,15.0,37774.51,21223.79,2360.91,36.120000000000005,4,11,3,9,2,0,nan,8.0,5.0,5,4,0,0,0,nan
CUST0002304,45,Female,Maharashtra,Alappuzha,333325,Married,Unknown,Self-Employed,2016-08-13,7.81,Savings,Affluent,726400.0,535905.47,553.0,2,1,0,0,0,0,0.0,0.0,128030.19,58.2,8.0,10319.12,36598.01,1146.57,57.98,3,16,5,14,3,1,yes,6.0,4.0,11,3,0,0,0,yes
CUST0003288,39,Female,Karnataka,Moradabad,953926,Single,High School,Self-Employed,2016-06-04,8.0,Savings,Affluent,816100.0,0.0,686.0,5,0,0,0,0,1,0.0,0.0,0.0,0.0,19.0,0.0,69597.38,0.0,76.98,3,10,7,11,1,1,yes,8.0,5.0,4,0,0,0,1,yes
CUST0006262,52,Female,Maharashtra,Eluru,341193,Single,Graduate,Retired,2017-04-07,7.16,Savings,Mass,307300.0,0.0,776.0,5,1,0,1,1,0,0.0,0.0,148579.17,50.53,28.0,0.0,27595.81,0.0,58.88,6,10,10,12,1,0,nan,7.0,4.0,5,14,0,0,0,nan
CUST0004003,42,Female,Maharashtra,Dibrugarh,295559,Single,Graduate,Business Owner,2015-08-27,8.77,Current,UHNI,360100.0,221607.05,763.0,2,1,0,1,0,0,0.0,0.0,42796.7,25.09,20.0,59728.67,35264.41,2844.22,38.11,2,8,4,16,0,3,yes,8.0,4.0,0,0,0,0,0,yes
CUST0006854,19,Female,West Bengal,Avadi,730506,Married,High School,Business Owner,2018-08-16,5.8,Savings,Emerging Affluent,1233000.0,1096835.09,703.0,3,1,1,1,0,0,304761.16,3221.89,61595.71,34.7,21.0,160313.22,107805.22,7286.96,85.02,4,10,5,13,1,0,nan,7.0,5.0,9,7,0,0,0,nan
CUST0009093,26,Female,UP,Kolhapur,85715,Single,Post-Graduate,Salaried,2019-07-04,4.92,Savings,Mass,640900.0,1044897.04,663.0,3,1,1,1,0,1,606530.74,7887.67,184750.35,21.83,14.0,13748.84,40040.58,916.59,60.73,2,10,8,11,1,1,yes,8.0,4.0,6,13,0,0,0,yes
CUST0002944,39,Female,Tamil Nadu,Chapra,154465,Single,Post-Graduate,Salaried,2013-11-30,10.51,Savings,HNI,1300500.0,1893041.37,644.0,2,1,1,0,1,0,264660.37,6147.42,130588.85,33.24,29.0,33869.72,118186.34,1128.99,79.51,3,14,5,22,1,2,yes,7.0,2.0,2,23,0,0,0,yes
CUST0000322,49,Male,Telangana,Dehri,258469,Married,Graduate,Business Owner,2020-04-12,4.14,Savings,HNI,475200.0,80208.66,606.0,3,0,1,0,1,1,177005.58,1764.27,0.0,0.0,16.0,31277.11,21203.8,1839.83,39.51,6,11,4,10,1,4,no,10.0,3.0,5,6,0,0,0,no
CUST0004439,37,Female,Delhi,Bally,985868,Married,High School,Homemaker,2023-08-06,0.82,Savings,Emerging Affluent,2298400.0,5398737.77,675.0,1,0,1,0,0,1,59028.39,1257.1,0.0,0.0,14.0,1042938.14,120187.47,69529.21,85.88,1,13,5,10,1,1,yes,2.0,3.0,5,2,0,0,0,yes
CUST0005004,37,Female,Telangana,Bidar,179659,Single,High School,Student,2022-08-31,1.75,NRI,Mass,110700.0,55783.61,585.0,3,1,1,0,0,0,262673.67,11613.14,239056.79,38.39,25.0,20166.49,6019.68,775.63,40.48,2,5,7,15,5,5,yes,4.0,4.0,8,11,0,0,0,yes
CUST0007757,29,Female,Telangana,Madurai,521937,Single,Post-Graduate,Salaried,2022-02-05,2.32,Salary,Emerging Affluent,917500.0,1739969.22,609.0,2,0,0,1,0,0,0.0,0.0,0.0,0.0,24.0,466106.56,75088.33,18644.26,90.62,6,14,7,13,7,0,nan,8.0,4.0,22,10,0,0,0,nan
CUST0008783,57,Female,Maharashtra,Raiganj,660444,Single,Post-Graduate,Business Owner,2011-07-08,12.91,Current,HNI,1073400.0,1683867.15,691.0,4,0,0,1,0,0,0.0,0.0,0.0,0.0,17.0,410875.8,67233.13,22826.43,22.57,3,11,4,14,2,1,yes,3.0,4.0,10,6,0,0,0,yes
CUST0006426,48,Male,UP,Tezpur,686536,Married,Post-Graduate,Retired,2011-10-06,12.66,Fixed Deposit,Emerging Affluent,436200.0,1031907.11,602.0,3,1,1,0,0,1,102838.96,5679.29,10000.0,14.06,23.0,339450.28,40416.23,14143.76,23.55,3,6,2,13,0,0,nan,6.0,4.0,11,8,0,0,0,nan
CUST0007149,59,Female,Karnataka,Kharagpur,924610,Divorced,High School,Self-Employed,2016-08-20,7.79,Savings,Affluent,1032000.0,2578630.54,771.0,5,0,0,1,0,0,0.0,0.0,0.0,0.0,16.0,442702.41,59230.68,26041.32,67.23,5,18,5,26,0,0,nan,8.0,5.0,44,14,0,0,0,nan
CUST0003685,49,Male,Tamil Nadu,Guntur,375183,Married,Graduate,Salaried,2014-01-31,10.34,NRI,Mass,213600.0,91657.15,734.0,2,0,1,0,0,0,80582.82,5303.19,0.0,0.0,21.0,15672.29,20285.37,712.38,49.85,3,13,8,14,2,0,nan,7.0,4.0,4,5,0,0,0,nan
CUST0002702,56,Male,Telangana,Anantapuram,97641,Divorced,Graduate,Retired,2013-03-27,11.19,Savings,HNI,208100.0,105717.79,572.0,2,0,1,0,0,0,200383.48,7577.29,0.0,0.0,13.0,7270.89,12936.38,519.35,49.13,3,10,8,12,1,1,yes,8.0,4.0,3,16,0,0,0,yes
CUST0007937,18,Male,Maharashtra,Aizawl,620618,Married,Graduate,Salaried,2017-01-15,7.38,NRI,Emerging Affluent,1008300.0,1960036.82,750.0,2,1,1,0,0,0,37772.61,455.05,11006.52,25.62,15.0,691383.84,80072.61,43211.49,72.43,4,15,7,22,1,0,nan,7.0,4.0,17,0,0,0,0,nan
CUST0008502,36,Female,Rajasthan,Malegaon,794679,Married,Graduate,Business Owner,2023-12-13,0.47,Savings,Mass,1214200.0,918865.47,564.0,2,1,0,0,1,1,0.0,0.0,195654.62,42.73,14.0,154486.7,82850.55,10299.11,86.0,3,12,6,11,0,5,yes,9.0,4.0,7,12,0,0,0,yes
CUST0002076,37,Male,Rajasthan,Loni,673445,Married,Post-Graduate,Salaried,2022-01-14,2.38,Current,Mass,219500.0,91311.62,612.0,1,1,0,0,0,0,0.0,0.0,12215.77,22.21,18.0,21013.87,16573.1,1105.99,67.05,2,17,4,7,1,0,nan,5.0,5.0,21,3,0,0,0,nan
CUST0001766,31,Female,Gujarat,Machilipatnam,141516,Married,Doctorate,Homemaker,2021-05-19,3.04,Salary,Affluent,3276800.0,8167380.21,488.0,1,1,0,1,0,0,0.0,0.0,60745.82,5.02,32.0,3103813.37,312826.81,94054.95,58.86,7,9,3,15,1,0,nan,3.0,3.0,8,6,0,0,0,nan
CUST0001570,35,Male,Tamil Nadu,Motihari,460159,Married,High School,Student,2020-02-08,4.32,Current,Emerging Affluent,182800.0,177890.85,589.0,1,1,0,0,0,0,0.0,0.0,268770.73,14.09,11.0,58934.31,9694.28,4911.19,25.77,6,8,8,13,2,0,nan,9.0,5.0,18,0,0,0,0,nan
CUST0004013,29,Female,Maharashtra,Bhubaneswar,76754,Married,Graduate,Salaried,2021-06-22,2.95,NRI,Affluent,80000.0,172471.36,640.0,1,0,1,0,1,1,40771.99,1059.26,0.0,0.0,23.0,39935.47,4746.89,1663.98,83.04,4,12,2,10,1,3,no,7.0,3.0,55,2,0,0,0,no
CUST0006891,55,Female,Telangana,Ludhiana,628818,Widowed,High School,Salaried,2020-12-21,3.45,Savings,Mass,2839100.0,4852366.64,815.0,5,0,0,0,0,0,0.0,0.0,0.0,0.0,15.0,957054.27,140813.96,59815.89,30.42,1,12,5,13,2,2,yes,7.0,4.0,11,10,0,0,0,yes
CUST0009393,39,Male,Karnataka,Karaikudi,439841,Widowed,Post-Graduate,Business Owner,2014-01-11,10.39,Savings,Emerging Affluent,650000.0,734123.06,648.0,1,1,1,0,0,0,125112.99,1092.62,144150.54,28.68,15.0,24945.69,64088.64,1559.11,65.74,3,9,7,19,3,0,nan,6.0,4.0,51,3,0,0,0,nan
CUST0006880,20,Male,Gujarat,Sonipat,487920,Single,Graduate,Business Owner,2018-01-22,6.36,Fixed Deposit,Emerging Affluent,3215800.0,6519368.8,766.0,2,1,1,0,0,0,83194.79,776.37,207348.45,15.16,15.0,771243.61,180276.04,48202.73,25.430000000000003,4,8,5,15,4,2,yes,9.0,4.0,3,0,0,0,0,yes
CUST0000108,44,Male,UP,Tiruvottiyur,376160,Married,Graduate,Salaried,2018-12-16,5.46,Salary,HNI,938900.0,1663441.42,891.0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,14.0,156124.63,51142.29,10408.31,64.92999999999999,2,9,4,16,1,2,yes,9.0,4.0,2,14,0,0,0,yes
CUST0003922,44,Male,Maharashtra,Naihati,605730,Single,Unknown,Business Owner,2019-05-08,5.07,Fixed Deposit,Mass,1119200.0,2292304.02,669.0,4,1,0,0,0,1,0.0,0.0,88974.76,36.32,14.0,668269.87,110325.58,44551.32,85.48,1,12,7,15,1,0,nan,7.0,5.0,6,0,0,0,0,nan
CUST0006688,29,Female,UP,Bharatpur,233014,Married,High School,Salaried,2013-12-07,10.49,Current,Affluent,263000.0,248560.44,641.0,4,1,1,1,0,0,429042.76,17032.46,22995.49,33.81,17.0,66310.43,17336.28,3683.91,47.73,2,14,4,13,1,0,nan,8.0,5.0,2,9,0,0,0,nan
CUST0006490,59,Male,UP,Gandhidham,927350,Married,Doctorate,Salaried,2022-03-19,2.21,Current,Mass,685100.0,756835.34,647.0,2,1,0,0,0,1,0.0,0.0,122744.79,11.87,19.0,221109.28,58026.58,11055.46,52.64,4,15,5,19,2,0,nan,9.0,4.0,5,4,0,0,0,nan
CUST0002110,49,Male,Delhi,Barasat,383211,Married,Graduate,Retired,2013-03-27,11.19,Savings,Affluent,2145500.0,5063500.1,788.0,3,1,1,0,0,0,420060.69,5946.02,90661.89,60.45,22.0,119132.71,131006.4,5179.68,74.95,5,10,5,11,0,0,nan,10.0,4.0,3,8,0,0,0,nan
CUST0004851,18,Female,Maharashtra,Patna,961456,Married,Graduate,Self-Employed,2018-06-10,5.98,Savings,Affluent,606600.0,736588.8,589.0,2,1,1,0,0,0,102931.47,1014.12,136679.18,12.72,16.0,154389.29,39020.45,9081.72,12.79,0,14,7,15,1,0,nan,6.0,4.0,8,20,0,0,0,nan
CUST0001419,61,Female,Maharashtra,Katihar,593460,Married,Doctorate,Salaried,2013-06-28,10.93,Current,Mass,1049900.0,116869.16,708.0,3,1,1,0,1,0,699552.98,20732.94,10000.0,22.45,17.0,31089.41,61852.15,1727.19,79.17,2,6,5,16,1,0,nan,10.0,5.0,12,17,0,0,0,nan
CUST0003371,40,Female,Tamil Nadu,Visakhapatnam,909631,Married,Graduate,Business Owner,2018-08-04,5.83,Savings,Mass,890400.0,1873869.08,705.0,2,0,1,0,0,0,188510.88,4357.89,0.0,0.0,24.0,535369.64,52751.01,21414.79,59.81999999999999,6,17,5,19,3,1,yes,8.0,2.0,4,7,0,0,0,yes
CUST0003690,40,Female,Maharashtra,Parbhani,926769,Married,Post-Graduate,Retired,2022-09-07,1.73,Savings,Mass,928800.0,634182.17,587.0,2,1,1,0,1,1,126615.84,2141.87,152611.69,29.53,24.0,130345.22,77560.26,5213.81,76.73,7,11,7,8,2,0,nan,8.0,4.0,1,3,0,0,0,nan
CUST0008192,36,Female,Gujarat,New Delhi,144340,Married,High School,Self-Employed,2021-08-06,2.82,Savings,Affluent,510300.0,678592.43,744.0,1,0,0,1,0,1,0.0,0.0,0.0,0.0,8.0,96037.49,22596.31,10670.83,47.68,4,14,1,13,0,1,no,10.0,5.0,11,19,0,0,0,no
