customer_id,age,gender,state,city,pin_code,marital_status,education,occupation,join_date,tenure_years,account_type,account_segment,annual_income,balance,credit_score,num_products,has_credit_card,has_loan,has_insurance,has_demat,has_mutual_fund,loan_amount,loan_emi,credit_limit,credit_utilization_pct,monthly_txn_count,monthly_debit_amt,monthly_credit_amt,avg_txn_value,online_txn_pct,atm_withdrawal_freq,upi_txn_count,net_banking_logins,mobile_app_logins,branch_visits,complaints_last_year,complaint_resolved,nps_score,csat_score,days_since_last_txn,days_since_last_login,is_dormant,inactive_6m,churn
CUST0009824,36,Male,UP,Agartala,077280,Married,Post-Graduate,Homemaker,19-10-2016,7.62,Savings,Mass,213700,150020.59,733,1,0,0,1,0,0,0,0,0,0,15,2483.6,20014.32,155.22,59.34,5,11,6,11,2,0,,7,2,26,5,0,0,0
CUST0000034,28,Male,West Bengal,Jalgaon,058419,Married,Post-Graduate,Self-Employed,30-10-2014,9.59,Savings,Emerging Affluent,4391200,9790435.24,709,4,1,1,0,1,0,100486.79,897.35,176697.75,21.38,14,2183016.24,298418.88,145534.42,28.33,3,5,3,15,1,0,,9,5,4,1,0,0,0
CUST0001370,30,Male,Maharashtra,Sirsa,618183,Married,Graduate,Business Owner,09-10-2014,9.65,Savings,Emerging Affluent,2557100,5489392.86,670,5,1,1,0,0,0,220332.94,4236.29,128697.77,13.63,15,874920.46,212523.05,54682.53,50.55,4,12,6,12,1,0,,7,4,23,16,0,0,0
CUST0003621,24,Male,Karnataka,Ghaziabad,543229,Married,Graduate,Self-Employed,23-08-2022,1.78,Salary,HNI,2360300,5806492.68,671,3,0,0,0,1,0,0,0,0,0,13,1555652.64,122447.31,111118.05,38.96,3,14,2,15,2,1,1,8,2,1,12,0,0,0
CUST0003273,53,Male,Delhi,Latur,723494,Married,High School,Salaried,13-03-2018,6.22,Savings,Mass,827500,1373669.43,567,5,1,0,1,0,0,0,0,232698.87,34.83,,22005.93,58318.76,1047.9,68.77,6,6,8,18,2,0,,8,3,3,1,0,0,0
CUST0006393,21,Female,Delhi,Bhalswa Jahangir Pur,418901,Single,Post-Graduate,Student,30-01-2016,8.34,Savings,Affluent,142600,310626.19,587,2,0,1,0,0,0,132565.97,1110.1,0,0,16,88741.06,5952.91,5220.06,68.62,3,17,4,11,1,0,,10,5,5,5,0,0,0
CUST0000252,53,Female,Rajasthan,Imphal,914215,Single,High School,Self-Employed,01-05-2010,14.1,Savings,Mass,2690500,4261583.15,692,4,0,1,0,1,1,163155.96,1699.64,0,0,18,1435588.58,174619.59,75557.29,53.28000000000001,4,10,4,19,1,1,1,10,5,30,6,0,0,0
CUST0008188,50,Male,Delhi,Mira-Bhayandar,420045,Divorced,Post-Graduate,Freelancer,06-05-2016,8.08,Savings,Affluent,788500,164417.23,621,3,1,0,0,1,0,0,0,226538.72,38.24,11,16875.75,64909.82,1406.31,92.07,2,19,5,14,3,0,,8,5,10,0,0,0,0
CUST0000648,41,Male,UP,Warangal,028850,Married,Post-Graduate,Self-Employed,19-07-2015,8.88,Savings,Affluent,3125100,3557069.89,590,2,0,0,0,0,0,0,0,0,0,16,1054047.33,288829.08,62002.78,89.58,3,8,3,19,0,3,1,1,4,11,10,0,0,0
CUST0003853,58,Male,Maharashtra,Shimoga,211479,Divorced,Post-Graduate,Salaried,26-04-2013,11.11,Savings,Emerging Affluent,743400,331148.14,639,4,0,0,0,0,0,0,0,0,0,19,80875.92,43561.06,4043.8,82.44,0,19,6,16,2,5,1,2,4,0,7,0,0,0
CUST0000488,27,Male,Telangana,Tenali,326664,Married,Unknown,Self-Employed,25-10-2016,7.61,Current,Affluent,594200,0,680,1,1,1,1,0,0,221431.81,2852.73,86311.03,23.82,19,0,38552.84,0,77.64,3,14,6,19,1,0,,6,4,19,2,0,0,0
CUST0007217,34,Female,Maharashtra,Karimnagar,602003,Married,High School,Student,13-05-2018,6.06,Fixed Deposit,Affluent,183600,350181.11,702,1,1,1,1,0,1,306174.92,5374.03,230135.95,67.58,16,26258.5,12909.45,1544.62,35.55,2,10,5,16,2,0,,3,4,6,2,0,0,0
CUST0007624,32,Female,Tamil Nadu,Sikar,961955,Married,Post-Graduate,Business Owner,13-07-2012,11.89,Current,Emerging Affluent,,3123156.59,652,3,0,0,1,0,0,0,0,0,0,22,93070.12,88726.14,4046.53,65.73,4,14,6,15,3,3,1,9,3,1,12,0,0,0
CUST0000533,41,Male,West Bengal,Dehradun,736411,Married,Post-Graduate,Salaried,14-08-2021,2.8,Savings,Emerging Affluent,616200,730611.42,678,3,0,1,1,0,0,80121.14,1559.88,0,0,10,226524.53,32551.99,20593.14,54.56999999999999,3,11,2,18,2,0,,9,5,6,0,0,0,0
CUST0001544,36,Female,Telangana,Chandigarh,294210,Single,Graduate,Business Owner,17-12-2016,7.46,NRI,Affluent,1118800,228849.56,701,4,1,1,1,0,1,667674.14,5662.02,230715.54,40.47,22,17247,59780.45,749.87,61.870000000000005,6,13,7,9,2,0,,6,3,20,10,0,0,0
