vehicle_uid,selling_price,km_driven,price_category,km_category
CAR_000001,60000,70000,Low,Medium
CAR_000002,135000,50000,Low,Medium
CAR_000003,600000,100000,Low,Medium
CAR_000004,250000,46000,Low,Medium
CAR_000005,450000,141000,Low,High
CAR_000006,140000,125000,Low,High
CAR_000007,550000,25000,Mid,Low
CAR_000008,240000,60000,Low,Medium
CAR_000009,4461000,25000,High,Low
CAR_000010,365000,78000,Mid,High
CAR_000011,260000,35000,Low,Medium
CAR_000012,250000,100000,Low,High
CAR_000013,1650000,25000,Premium,Low
CAR_000014,60000,70000,Low,Medium
CAR_000015,135000,60000,Low,Medium
CAR_000016,600000,100000,Mid,High
CAR_000017,250000,46000,Low,Medium
CAR_000018,4461000,60000,Mid,High
CAR_000019,140000,125000,Low,High
CAR_000020,550000,25000,Mid,Low
CAR_000021,240000,60000,Low,Medium
CAR_000022,850000,25000,High,Low
CAR_000023,365000,60000,Mid,High
CAR_000024,4461000,60000,Low,Medium
CAR_000025,250000,100000,Low,High
CAR_000026,1650000,25000,Premium,Low
CAR_000027,585000,24000,Mid,Low
CAR_000028,1195000,5000,Premium,Low
CAR_000029,390000,33000,Low,Medium
CAR_000030,1964999,28000,Premium,Low
CAR_000031,1425000,59000,Premium,Medium
CAR_000032,975000,4500,High,Low
CAR_000033,1190000,60000,Premium,Very High
CAR_000034,4461000,60000,High,Low
CAR_000035,525000,15000,Mid,Low
CAR_000036,1735000,50000,Premium,Medium
CAR_000037,1375000,33800,Premium,Medium
CAR_000038,450000,60000,Mid,High
CAR_000039,900000,50000,High,Medium
CAR_000040,1300000,80000,Premium,High
CAR_000041,1400000,10000,Premium,Medium
CAR_000042,850000,119000,High,High
CAR_000043,229999,60000,Low,Medium
CAR_000044,1550000,75800,Premium,High
CAR_000045,1250000,78000,Premium,High
CAR_000046,625000,40000,High,Medium
CAR_000047,1050000,50000,Premium,Medium
CAR_000048,560000,74000,Low,High
CAR_000049,290000,64000,Low,Medium
CAR_000050,275000,60000,Low,Medium
CAR_000051,411000,120000,Mid,High
CAR_000052,4461000,79000,Low,High
CAR_000053,500000,15000,Mid,Medium
CAR_000054,100000,80000,Low,High
CAR_000055,725000,18500,High,Low
CAR_000056,401000,10200,Mid,Low
CAR_000057,750000,29000,Low,Low
CAR_000058,310000,28000,Mid,Low
CAR_000059,665000,46000,High,Medium
CAR_000060,465000,70000,Mid,Medium
CAR_000061,160000,60000,Low,Medium
CAR_000062,250000,35000,Low,Medium
CAR_000063,675000,90000,High,High
CAR_000064,300000,80000,Low,High
CAR_000065,70000,80000,Low,High
CAR_000066,240000,73300,Low,High
CAR_000067,525000,92000,Mid,High
CAR_000068,151000,66764,Low,Medium
CAR_000069,140000,100000,Low,High
CAR_000070,280000,350000,Low,Very High
CAR_000071,4461000,230000,Mid,Very High
CAR_000072,570000,60000,Mid,Medium
CAR_000073,300000,31000,Low,Medium
CAR_000074,100000,39000,Low,Medium
CAR_000075,500000,120000,Mid,Medium
CAR_000076,125000,166000,Low,Very High
CAR_000077,130000,110000,Low,High
CAR_000078,925000,35000,High,Medium
CAR_000079,750000,60000,High,Medium
CAR_000080,200000,54000,Low,Medium
CAR_000081,4461000,60000,Low,Medium
CAR_000082,450000,120000,Mid,High
CAR_000083,80000,120000,Low,Medium
CAR_000084,650000,76000,High,High
CAR_000085,4461000,80000,Mid,High
CAR_000086,650000,25000,Low,Low
CAR_000087,495000,11958,Mid,Low
CAR_000088,371000,20000,Mid,Low
CAR_000089,1025000,60000,Premium,Low
CAR_000090,8150000,6500,Premium,Low
CAR_000091,750000,70000,High,Medium
CAR_000092,600000,120000,Mid,High
CAR_000093,80000,58000,Low,Medium
CAR_000094,4461000,60000,Mid,Medium
CAR_000095,1470000,34000,Premium,Medium
CAR_000096,350000,60000,Mid,Medium
CAR_000097,4461000,49000,Premium,Medium
CAR_000098,210000,60000,Low,Low
CAR_000099,450000,50000,Mid,Medium
CAR_000100,1150000,53000,Premium,Medium
CAR_000101,210000,63500,Low,Medium
CAR_000102,4500000,9800,Premium,Low
CAR_000103,2750000,13000,Premium,Low
CAR_000104,1975000,21000,Premium,Low
CAR_000105,175000,29173,Low,Low
CAR_000106,2500000,48000,Premium,Medium
CAR_000107,628000,120000,High,High
CAR_000108,600000,100000,Mid,High
CAR_000109,399000,30000,Mid,Low
CAR_000110,4461000,87000,High,High
CAR_000111,750000,15000,High,Low
CAR_000112,315000,16000,Mid,Low
CAR_000113,600000,60000,Mid,Medium
CAR_000114,100000,60000,Low,Medium
CAR_000115,250000,110000,Low,Medium
CAR_000116,350000,25000,Mid,Low
CAR_000117,780000,60000,High,Medium
CAR_000118,434000,79350,Mid,High
CAR_000119,690000,80000,High,High
CAR_000120,555000,90000,Low,Medium
CAR_000121,4461000,90000,Low,High
CAR_000122,500000,120000,Mid,High
