Record_ID,Crop,Crop_Year,Season,State,Area,Production,Yield,Production_per_Area,Yield_Category
1,Arecanut,1997,Whole Year ,Assam,73814,56708,0.796086957,0.7682553445145908,Low
2,Arhar/Tur,1997,Kharif     ,Assam,6637,4685,0.710434783,0.7058912159108031,Low
3,Castor seed,1997,Kharif     ,Assam,9378,22,0.238333333,0.0276381909547738,Low
4,Coconut ,1997,Whole Year ,Assam,19656,126905000,0.982466216,6456.298331298332,Very High
5,Cotton(lint),1997,Kharif     ,Assam,1739,794,0.420909091,0.4565842438182864,Low
6,Dry chillies,1997,Whole Year ,Assam,13587,9073,0.643636364,0.667770663133878,Low
7,Gram,1997,Rabi       ,Assam,2979,1507,0.465454545,0.5058744545149378,Low
8,Jute,1997,Kharif     ,Assam,94520,904095,9.919565217,9.565118493440542,Very High
9,Linseed,1997,Rabi       ,Assam,10098,5158,0.461363636,0.5107942166765697,Low
10,Maize,1997,Kharif     ,Assam,19216,14721,0.615652174,0.7660803497085762,Low
11,Mesta,1997,Kharif     ,Assam,5915,29003,4.568947368,4.903296703296704,High
12,Niger seed,1997,Whole Year ,Assam,9914,5076,0.482352941,0.5120032277587251,Low
13,Onion,1997,Whole Year ,Assam,9378,17943,2.342608696,2.290985699693565,Medium
14,Other  Rabi pulses,1997,Rabi       ,Assam,108297,58272,0.520869565,0.5380758469763706,Low
15,Potato,1997,Whole Year ,Assam,75259,671871,7.561304348,8.927450537477245,Very High
16,Rapeseed &Mustard,1997,Rabi       ,Assam,279292,154772,0.554782609,0.5541583718831904,Low
17,Rice,1997,Autumn     ,Assam,607358,398311,0.780869565,0.5541583718831904,Low
18,Rice,1997,Summer     ,Assam,174974,209623,1.060434783,1.1980237063792334,Medium
19,Rice,1997,Winter     ,Assam,1743321,13684,0.941304348,0.9449183483707246,Low
20,Sesamum,1997,Whole Year ,Assam,15765,8257,0.487391304,0.5237551538217571,Low
21,Small millets,1997,Kharif     ,Assam,10490,5391,0.473,0.5139180171591993,Low
22,Sugarcane,1997,Kharif     ,Assam,31318,1287451,41.89695652,41.1089788619963,Very High
23,Sweet potato,1997,Whole Year ,Assam,9380,32618,3.440434783,3.4773987206823027,High
24,Tapioca,1997,Whole Year ,Assam,2465,11728,0.982466216,4.757809330628803,High
25,Tobacco,1997,Whole Year ,Assam,433,26,0.38,0.0600461893764434,Low
26,Turmeric,1997,Whole Year ,Assam,10071,6974,0.67,0.0600461893764434,Low
27,Wheat,1997,Rabi       ,Assam,84698,110054,1.25952381,1.2993695246641006,Medium
28,Arecanut,1997,Whole Year ,Karnataka,93100,133342,1.293571429,1.4322448979591835,Medium
29,Arhar/Tur,1997,Kharif     ,Karnataka,421810,13684,0.268235294,0.2334534506057229,Low
30,Bajra,1997,Kharif     ,Karnataka,301149,132056,0.404545455,0.4385071841513669,Low
31,Bajra,1997,Summer     ,Karnataka,820,662,0.81,0.8073170731707318,Low
32,Black pepper,1997,Kharif     ,Karnataka,3825,924,0.4375,0.2415686274509804,Low
33,Cardamom,1997,Whole Year ,Karnataka,21230,1214,0.058571429,0.0571832312764955,Low
34,Coriander,1997,Whole Year ,Karnataka,17317,2853,0.121333333,0.1647514003580296,Low
35,Dry chillies,1997,Kharif     ,Karnataka,186579,139206,0.982466216,0.7460968276172559,Medium
36,Dry chillies,1997,Rabi       ,Karnataka,4565,7895,1.869444444,1.7294633077765609,Medium
37,Garlic,1997,Whole Year ,Karnataka,5061,3799,1.585,0.7506421655799249,Medium
38,Ginger,1997,Kharif     ,Karnataka,3619,4745,1.262307692,1.3111356728378003,Medium
39,Groundnut,1997,Kharif     ,Karnataka,847666,525562,0.709411765,0.6200107117661909,Low
40,Groundnut,1997,Rabi       ,Karnataka,192416,181071,0.982466216,0.941039206718776,Medium
41,Horse-gram,1997,Kharif     ,Karnataka,178872,80124,0.45,0.941039206718776,Low
42,Horse-gram,1997,Rabi       ,Karnataka,163173,13684,0.514705882,0.5060396021400599,Low
43,Jowar,1997,Kharif     ,Karnataka,389690,516093,1.228,1.32436808745413,Medium
