order_id,order_date,delivery_date,supplier_name,product_category,region,warehouse_code,quantity_ordered,unit_price_inr,total_amount_inr,lead_time_days,quality_score,on_time_delivery,discount_pct,shipment_mode,payment_terms,delivery_days
ORD-00001,17-10-2023,18-10-2023 00:00,Reliance Industries,electronics,Air,Wh-che-03,103,235.64,24270.92,23,3.615288038257196,No,0.21,Air,Net 90,1
ORD-00002,25-04-2022,27-05-2022 00:00,Blue Dart Express,packaging,Road,Wh-pun-06,436,141.57,61724.52,43,8.082731214258997,Yes,0.06,Road,Net 30,32
ORD-00003,26-01-2022,19-02-2022 00:00,Mahindra Logistics,electronics,Air,Wh-del-02,861,1888.55,1626041.55,55,2.007423343193773,No,0.19,Air,Net 60,24
ORD-00004,30-01-2024,29-02-2024 00:00,Wipro Logistics,food & beverage,Air,Wh-mum-01,271,4054.66,1098812.86,16,4.203760364153674,No,0.08,Air,Advance,30
ORD-00005,09-10-2022,06-11-2022 00:00,Mahindra Logistics,raw materials,Air,Wh-mum-01,107,4936.51,528206.57,47,9.802556361761756,No,0.27,Air,Net 30,28
ORD-00006,08-09-2022,12-10-2022 00:00,Asian Paints Ltd,machinery,Rail,Wh-che-03,72,760.58,54761.76,53,8.145907447312055,No,0.27,Rail,Cod,34
ORD-00007,17-08-2022,04-09-2022 00:00,mahindra logistics,chemicals,Road,Wh-mum-01,701,2974.71,2085271.71,15,5.475303372832194,No,0.09,Road,Advance,18
ORD-00008,23-05-2022,27-06-2022 00:00,asian paints ltd,food & beverage,Road,Wh-mum-01,21,1910.65,40123.65,25,4.057997244056966,Yes,0.07,Road,Net 30,35
ORD-00009,25-01-2024,24-02-2024 00:00,Infosys BPM,machinery,Air,Wh-mum-01,615,4849.87,2982670.05,36,8.849221300202288,Yes,0.12,Air,Cod,30
ORD-00010,15-04-2022,23-05-2022 00:00,Mahindra Logistics,electronics,Road,Wh-mum-01,122,4212.17,513884.74,11,17.33413079891457,Yes,0.07,Road,Net 30,38
ORD-00011,24-11-2023,10-12-2023 00:00,DHL Supply Chain,electronics,Air,Wh-del-02,467,4193.26,1958252.42,51,7.825825161,Yes,0.2,Air,Net 30,16
ORD-00012,29-01-2024,04-02-2024 00:00,RELIANCE INDUSTRIES,textiles,Road,Wh-che-03,215,2348.78,504987.7,15,7.786969122845476,No,0.25,Road,Net 30,6
ORD-00014,31-03-2022,30-04-2022 00:00,mahindra logistics,electronics,Road,Wh-hyd-05,459,1374.3,630803.7,21,2.136284045133521,Yes,0.25,Road,Net 60,30
ORD-00015,28-08-2023,10-10-2023 00:00,  TATA STEEL LTD  ,raw materials,Road,Wh-mum-01,88,291.31,25635.28,13,6.936664298,No,0.12,Road,Net 60,43
ORD-00016,09-03-2023,11-03-2023 00:00,Tata Steel Ltd,food & beverage,Air,Wh-che-03,373,4324.96,1613210.08,22,2.454578301572843,No,0.05,Air,Net 30,2
ORD-00017,02-02-2022,23-02-2022 00:00,Infosys BPM,packaging,Road,Wh-mum-01,100,4066.38,406638,19,3.2994401019004425,No,0.22,Road,Cod,21
ORD-00018,31-01-2022,14-02-2022 00:00,Blue Dart Express,textiles,Air,Wh-blr-04,872,4998.59,4358770.48,34,9.519741587796464,No,0.11,Air,Cod,14
ORD-00019,06-04-2022,23-04-2022 00:00,Godrej Industries,packaging,Sea,Wh-hyd-05,664,4983.22,3308858.08,14,6.041640325374207,No,0.2,Sea,Advance,17
ORD-00020,12-08-2022,20-09-2022 00:00,Mahindra Logistics,chemicals,Sea,Wh-che-03,131,2781.6,364389.6,-19,7.756565562994124,Yes,0.08,Sea,Net 30,39
ORD-00021,27-08-2022,14-09-2022 00:00,RELIANCE INDUSTRIES,electronics,Sea,Wh-pun-06,662,3847.25,2546879.5,48,6.008473863176535,Yes,0.02,Sea,Net 30,18
ORD-00022,02-06-2023,06-07-2023 00:00,Godrej Industries,food & beverage,Air,Wh-mum-01,309,4724.38,1459833.42,53,5.972622533044527,No,0.3,Air,Net 30,34
ORD-00023,09-09-2023,15-09-2023 00:00,Blue Dart Express,packaging,Road,Wh-mum-01,770,4249.74,3272299.8,-37,1.8473671911312808,Yes,0.05,Road,Advance,6
ORD-00024,28-01-2022,24-02-2022 00:00,DHL Supply Chain,raw materials,Road,Wh-del-02,344,1244.27,428028.88,46,4.092968733481928,Yes,0.3,Road,Net 60,27
ORD-00025,29-07-2023,14-08-2023 00:00,Mahindra Logistics,chemicals,Air,Wh-che-03,492,2258.22,1111044.24,27,3.5418780881786054,No,0.29,Air,Cod,16
ORD-00026,23-07-2022,03-09-2022 00:00,Tata Steel Ltd,packaging,Road,Wh-che-03,414,654.51,270967.14,29,4.516555290522519,No,0.24,Road,Net 30,42
ORD-00027,04-01-2024,02-02-2024 00:00,Tata Steel Ltd,packaging,Road,Wh-hyd-05,806,4770.71,3845192.26,47,8.185097694018955,Yes,0.2,Road,Cod,29
ORD-00028,28-10-2023,03-11-2023 00:00,Unknown,Unknown,Road,Wh-mum-01,-730,3034.81,-2215411.3,28,5.659903020392016,Yes,0.17,Road,Net 30,6
ORD-00029,20-12-2023,15-01-2024 00:00,Reliance Industries,electronics,Road,Wh-mum-01,192,1150.93,220978.56,35,5.065271373085144,No,0.26,Road,Net 60,26
ORD-00030,13-07-2023,02-08-2023 00:00,Godrej Industries,packaging,Road,Wh-blr-04,956,3361.79,3213871.24,8,4.576432514367848,Yes,0.09,Road,Net 30,20
ORD-00031,06-03-2023,30-03-2023 00:00,Reliance Industries,electronics,Air,Wh-hyd-05,277,3094.46,857165.42,16,1.8406717477776604,No,0.14,Air,Net 60,24
ORD-00032,14-08-2022,17-09-2022 00:00,asian paints ltd,packaging,Express Air,Wh-che-03,161,1797.23,289354.03,42,4.969649424257053,No,0.19,Express Air,Net 30,34
ORD-00033,05-04-2023,11-05-2023 00:00,Wipro Logistics,chemicals,Road,Wh-blr-04,460,576.65,265259,36,2.7604834574006354,Yes,0.12,Road,Advance,36
ORD-00034,27-08-2023,11-10-2023 00:00,Unknown,Unknown,Road,Wh-mum-01,314,3361.15,1055401.1,30,5.659903020392016,No,0.13,Road,Net 90,45
ORD-00035,12-10-2022,01-11-2022 00:00,Blue Dart Express,electronics,Air,Wh-mum-01,22,2606.34,57339.48,18,1.8463249399083967,No,0.1,Air,Net 30,20
ORD-00036,08-04-2024,16-04-2024 00:00,TATA STEEL LTD,electronics,Air,Wh-mum-01,253,3863.87,977559.11,2,4.210038767275883,No,0.17,Air,Cod,8
ORD-00037,09-06-2024,30-06-2024 00:00,Reliance Industries,textiles,Express Air,Wh-del-02,748,2605.62,1949003.76,49,7.817336963104756,Yes,0.26,Express Air,Net 60,21
ORD-00038,07-01-2022,11-02-2022 00:00,Asian Paints Ltd,packaging,Air,Wh-mum-01,857,2569.8037628865977,1298412.9387958115,13,3.4879752152505645,No,0.06,Air,Net 60,35
ORD-00039,17-02-2024,02-04-2024 00:00,Infosys BPM,textiles,Road,Wh-che-03,561,2764.02,1550615.22,4,5.302450250828452,Yes,0.28,Road,Net 60,45
