order_id,order_date,delivery_date,supplier_name,product_category,region,warehouse_code,quantity_ordered,unit_price_inr,total_amount_inr,lead_time_days,quality_score,on_time_delivery,discount_pct,shipment_mode,payment_terms
ORD-00001,17-10-2023,18-10-2023,Reliance Industries,,Mumbai,WH-CHE-03,103,235.64,24270.92,23,3.6152880382571957,,0.20914910764139413,air,Net 90
ORD-00002,25-04-2022,27-05-2022,Blue Dart Express,packaging,Kolkata,WH-PUN-06,436,141.57,61724.52,43,8.082731214258997,Yes,0.058030603,ROAD,Net 30
ORD-00003,26-01-2022,19-02-2022,Mahindra Logistics,Electronics,mumbai,WH-DEL-02,861,1888.55,1626041.55,55,2.007423343193773,NO,0.1924513443768755,Air,Net 60
ORD-00004,30-01-2024,29-02-2024,Wipro Logistics,Food & Beverage,Delhi,wh-mum-01,271,4054.66,1098812.86,16,4.203760364153674,,0.077948441,Air,Advance
ORD-00005,09-10-2022,06-11-2022,Mahindra Logistics,raw materials,Mumbai,wh-mum-01,107,4936.51,528206.57,47,9.802556361761757,no,0.2658258326440549,Air,NET30
ORD-00006,08-09-2022,12-10-2022,Asian Paints Ltd,Machinery,Pune,WH-CHE-03,72,760.58,54761.76,53,8.145907447312055,No,0.26870698327998493,Rail,COD
ORD-00007,17-08-2022,04-09-2022,mahindra logistics,Chemicals,Pune,wh-mum-01,701,2974.71,2085271.71,15,5.475303372832194,no,0.089186161,ROAD,Advance
ORD-00008,23-05-2022,27-06-2022,asian paints ltd,Food & Beverage,mumbai,wh-mum-01,21,1910.65,40123.65,25,4.057997244056966,Yes,0.068998126,ROAD,Net 30
ORD-00009,25-01-2024,24-02-2024,Infosys BPM,Machinery,mumbai,wh-mum-01,615,4849.87,2982670.05,36,8.849221300202288,yes,0.12339119161986938,Air,COD
ORD-00010,15-04-2022,23-05-2022,Mahindra Logistics,ELECTRONICS,Delhi,WH-MUM-01,122,4212.17,513884.74,11,17.33413079891457,,0.072159476,ROAD,Net 30
ORD-00011,24-11-2023,10-12-2023,DHL Supply Chain,ELECTRONICS,Bangalore,WH-DEL-02,467,4193.26,1958252.42,51,7.825825161,YES,0.20171515298751108,,net 30
ORD-00012,29-01-2024,04-02-2024,RELIANCE INDUSTRIES,Textiles,Ahmedabad,WH-CHE-03,215,2348.78,504987.7,15,7.786969122845476,NO,0.24781940536448566,Road,NET30
ORD-00006,13-07-2023,11-08-2023,BlueDart Express,Textiles,Kolkata,WH-CHE-03,331,2079.95,688463.45,4,1.1615111071164264,yes,0.2019276392733651,,COD
ORD-00014,31-03-2022,30-04-2022,mahindra logistics,,Mumbai,WH-HYD-05,459,1374.3,630803.7,21,2.136284045133521,YES,0.24730513417480482,ROAD,Net 60
ORD-00015,28-08-2023,10-10-2023,  TATA STEEL LTD  ,Raw Materials,Ahmedabad,WH_MUM_01,88,291.31,25635.28,13,6.936664298,0,0.11909764866224223,ROAD,NET 60
ORD-00016,09-03-2023,11-03-2023,Tata Steel Ltd,Food & Beverage,Ahmedabad,WH-CHE-03,373,4324.96,1613210.08,22,2.454578301572843,NO,0.046895091,,net 30
ORD-00017,02-02-2022,23-02-2022,Infosys BPM,Packaging,mumbai,wh-mum-01,100,4066.38,406638,19,3.2994401019004425,no,0.22138528421927764,ROAD,COD
ORD-00018,31-01-2022,14-02-2022,Blue Dart Express,Textiles,Mumbai,WH-BLR-04,872,4998.59,4358770.48,34,9.519741587796464,No,0.10814235154246617,Air,COD
ORD-00019,06-04-2022,23-04-2022,Godrej Industries,Packaging,Hyderabad,WH-HYD-05,664,4983.22,3308858.08,14,6.041640325374207,,0.20138124756873974,Sea,Advance
ORD-00020,12-08-2022,20-09-2022,Mahindra Logistics,Chemicals,,WH-CHE-03,131,2781.6,364389.6,-19,7.756565562994124,Yes,0.081193183,Sea,NET30
ORD-00021,27-08-2022,14-09-2022,RELIANCE INDUSTRIES,Electronics,Mumbai,WH-PUN-06,662,3847.25,2546879.5,48,,Yes,0.02436889,Sea,Net 30
ORD-00022,02-06-2023,06-07-2023,Godrej Industries,Food & Beverage,Pune,WH-MUM-01,309,4724.38,1459833.42,53,5.972622533044527,no,0.297774539,air,net 30
ORD-00023,09-09-2023,15-09-2023,Blue Dart Express,packaging,,WH_MUM_01,770,4249.74,3272299.8,-37,1.8473671911312812,1,0.046860452,Road,Advance
ORD-00024,28-01-2022,24-02-2022,DHL Supply Chain,raw materials,Kolkata,WH-DEL-02,344,1244.27,428028.88,46,4.092968733481928,Yes,0.2965262981890443,Road,NET 60
ORD-00025,29-07-2023,14-08-2023,Mahindra Logistics,Chemicals,Chennai,WH-CHE-03,492,2258.22,1111044.24,27,3.5418780881786054,,0.29318397976993416,air,COD
ORD-00026,23-07-2022,03-09-2022,Tata Steel Ltd,Packaging,Pune,WH-CHE-03,414,654.51,270967.14,29,4.516555290522519,no,0.23814543117241188,Road,Net 30
ORD-00027,04-01-2024,02-02-2024,Tata Steel Ltd,Packaging,,WH-HYD-05,806,4770.71,3845192.26,47,8.185097694018955,yes,0.19782688862459927,ROAD,COD
ORD-00028,28-10-2023,03-11-2023,,Packaging,Bangalore,,-730,3034.81,-2215411.3,28,4.347394011251784,Yes,0.1733421150753254,Rail,Net-30
ORD-00029,20-12-2023,15-01-2024,Reliance Industries,ELECTRONICS,Chennai,,192,1150.93,220978.56,35,5.065271373085144,no,0.2598304636133504,Air,Net 60
ORD-00030,13-07-2023,02-08-2023,Godrej Industries,,Mumbai,WH-BLR-04,956,3361.79,3213871.24,8,4.576432514367848,,0.086831856,ROAD,net 30
ORD-00031,06-03-2023,30-03-2023,Reliance Industries,Electronics,Ahmedabad,WH-HYD-05,277,3094.46,857165.42,16,1.8406717477776604,NO,0.1403043637454631,Air,NET 60
ORD-00032,14-08-2022,17-09-2022,asian paints ltd,packaging,mumbai,WH-CHE-03,161,1797.23,289354.03,42,4.969649424257053,NO,0.18581699080995057,Express Air,
ORD-00033,05-04-2023,11-05-2023,Wipro Logistics,Chemicals,DELHI,WH-BLR-04,460,576.65,265259,36,2.7604834574006354,Yes,0.12335714276084732,,Advance
ORD-00034,27-08-2023,11-10-2023,,Machinery,Kolkata,WH_MUM_01,314,3361.15,1055401.1,30,2.680509661957373,No,0.1282459362270804,,Net 90
ORD-00035,12-10-2022,01-11-2022,Blue Dart Express,ELECTRONICS,Kolkata,WH-MUM-01,22,2606.34,57339.48,18,1.8463249399083972,NO,0.0990854,air,
ORD-00036,08-04-2024,16-04-2024,TATA STEEL LTD,Electronics,,wh-mum-01,253,3863.87,977559.11,2,4.210038767275883,No,0.16926954500536082,Air,COD
ORD-00037,09-06-2024,30-06-2024,Reliance Industries,Textiles,Delhi,WH-DEL-02,748,2605.62,1949003.76,49,7.817336963104756,yes,0.2551723584045348,Express Air,NET 60
ORD-00038,07-01-2022,11-02-2022,Asian Paints Ltd,packaging,Bangalore,WH-MUM-01,857,,,13,3.4879752152505645,no,0.060458513,Air,NET 60
ORD-00039,17-02-2024,02-04-2024,Infosys BPM,Textiles,mumbai,WH-CHE-03,561,2764.02,1550615.22,4,,YES,0.28032991162603244,ROAD,NET 60
ORD-00040,05-04-2024,19-04-2024,  Reliance Industries  ,Textiles,Hyderabad,WH-HYD-05,475,2809.08,1334313,26,6.784071919051812,,0.20672629612446888,,Net 90
ORD-00041,13-06-2022,01-07-2022,RELIANCE INDUSTRIES,Chemicals,mumbai,,59,4384.5,258685.5,25,2.762567313,no,0.24698196380400905,,Net 60
ORD-00042,16-12-2023,19-01-2024,  RELIANCE INDUSTRIES  ,,Chennai,WH-HYD-05,511,2023.38,1033947.18,30,9.072621374,,0.16685720778900348,ROAD,NET 60
